# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Sep 21 19:02:55 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 6.60000 0.6461530924 2.3498516083    0.646 -0.524  3.5642  3.981    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.081 6.830 7.986 8.032 5.791
0.02 0.14251 6.60000 0.6499999762 2.3520355225    0.650 -0.520  3.5650  3.983    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.070 6.813 7.963 8.009 5.777
0.02 0.14251 6.60000 0.6552746892 2.3549818993    0.655 -0.514  3.5662  3.985    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.054 6.788 7.929 7.975 5.756
0.02 0.14251 6.60000 0.6786410809 2.3674030304    0.679 -0.485  3.5715  3.992    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 5.982 6.674 7.775 7.822 5.661
0.02 0.14251 6.60000 0.7000000477 2.3779268265    0.700 -0.460  3.5760  3.999    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 5.920 6.577 7.643 7.690 5.580
0.02 0.14251 6.60000 0.7500000000 2.3998889923    0.750 -0.326  3.6179  4.062    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.585 5.937 6.737 6.786 5.084
0.02 0.14251 6.60000 0.7784122229 2.4109334946    0.778 -0.301  3.6213  4.067    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.523 5.853 6.635 6.684 5.011
0.02 0.14251 6.60000 0.8000000119 2.4187245369    0.800 -0.282  3.6238  4.070    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.474 5.787 6.556 6.606 4.953
0.02 0.14251 6.60000 0.8322880268 2.4295146465    0.832 -0.255  3.6274  4.074    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.407 5.697 6.448 6.497 4.874
0.02 0.14251 6.60000 0.8500000238 2.4350347519    0.850 -0.238  3.6294  4.075    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.66e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.365 5.643 6.383 6.432 4.826
0.02 0.14251 6.60000 0.8936591744 2.4475736618    0.893 -0.202  3.6341  4.079    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.274 5.524 6.243 6.292 4.721
0.02 0.14251 6.60000 0.8999999762 2.4492788315    0.899 -0.196  3.6348  4.079    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.261 5.506 6.222 6.271 4.705
0.02 0.14251 6.60000 0.9433533549 2.4602341652    0.943 -0.162  3.6392  4.083    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.175 5.395 6.090 6.139 4.607
0.02 0.14251 6.60000 0.9499999881 2.4618122578    0.950 -0.157  3.6399  4.084    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.13e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.163 5.379 6.071 6.119 4.593
0.02 0.14251 6.60000 0.9573469162 2.4635274410    0.957 -0.152  3.6406  4.085    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.149 5.361 6.050 6.098 4.577
