# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Sep 22 07:47:09 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 8.90000 0.6389919519 2.3457059860    0.639 -1.077  3.5992  4.669    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-15      0.00 6.983e-01 2.818e-01 3.571e-03 9.634e-04 8.737e-03 -1.000 1.986e-02 7.463 7.891 8.789 8.837 6.978
0.02 0.14251 8.90000 0.6499999762 2.3520355225    0.650 -1.043  3.6047  4.665    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-15      0.00 6.983e-01 2.818e-01 3.570e-03 9.632e-04 8.736e-03 -1.000 1.986e-02 7.378 7.777 8.649 8.697 6.879
0.02 0.14251 8.90000 0.6810728312 2.3686394691    0.681 -0.948  3.6212  4.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.03e-15      0.00 6.986e-01 2.816e-01 3.568e-03 9.626e-04 8.731e-03 -1.000 1.980e-02 7.140 7.451 8.247 8.296 6.599
0.02 0.14251 8.90000 0.7000000477 2.3779268265    0.700 -0.892  3.6314  4.652    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.55e-15      0.00 6.986e-01 2.816e-01 3.567e-03 9.625e-04 8.730e-03 -1.000 1.978e-02 6.999 7.258 8.007 8.056 6.435
0.02 0.14251 8.90000 0.7204415202 2.3873295784    0.721 -0.829  3.6447  4.655    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-15      0.00 6.988e-01 2.814e-01 3.545e-03 9.614e-04 8.725e-03 -1.000 1.981e-02 6.842 7.033 7.723 7.772 6.248
0.02 0.14251 8.90000 0.7500000000 2.3998889923    0.750 -0.741  3.6632  4.659    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-15      0.00 6.988e-01 2.814e-01 3.519e-03 9.608e-04 8.727e-03 -1.000 1.986e-02 6.624 6.726 7.341 7.389 5.994
0.02 0.14251 8.90000 0.8000000119 2.4187245369    0.800 -0.613  3.6822  4.634    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.24e-15      0.00 6.991e-01 2.810e-01 3.514e-03 9.596e-04 8.717e-03 -1.000 1.983e-02 6.301 6.329 6.877 6.923 5.648
0.02 0.14251 8.90000 0.8500000238 2.4350347519    0.850 -0.488  3.7008  4.611    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 6.996e-01 2.806e-01 3.510e-03 9.585e-04 8.707e-03 -1.000 1.974e-02 5.991 5.962 6.454 6.496 5.327
0.02 0.14251 8.90000 0.8776854873 2.4431524277    0.877 -0.422  3.7106  4.598    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-14      0.00 6.999e-01 2.804e-01 3.507e-03 9.577e-04 8.699e-03 -1.000 1.974e-02 5.826 5.772 6.238 6.279 5.160
0.02 0.14251 8.90000 0.8999999762 2.4492788315    0.899 -0.370  3.7183  4.588    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 7.001e-01 2.802e-01 3.505e-03 9.570e-04 8.694e-03 -1.000 1.975e-02 5.696 5.625 6.071 6.111 5.031
